Country,cc,tc,fc
Albania,4.590488,0.97424658,0
Angola,28.55,0.02520548,0
Armenia,3.25,1.003835616,0.1765
Austria,1.16,1.360547945,0.14313
Bahamas,0.08,0.58712329,-47.696
Bahrain,13.6,0.55616438,-0.03959
Bangladesh,60.64,-0.83369863,-0.01266
Belarus,6.89,0.275068493,0.60077
Bhutan,1.289239,-0.48246575,0.77446
Bolivia,11.97,0.11315069,-0.6562
Bosnia and Herzegovina,11.76,1.51780822,-9.7
Botswana,3.66,0.22191781,-9.5011
Brunei,5.76,0.32958904,4.968
Bulgaria,-2.82,0.79260274,0.00305
Burkina Faso,3.225827,0.61260274,0
Burundi,0.315212,-0.06657535,0.66425
Cambodia,13.59,0.6350685,5.149
Canada,36.95,-1.22109589,-1.74003
Cape Verde,0.426309,0.05917808,0
Central African Republic,0.03667,0.38767123,-41.18483
Chile,24.92,0.236164383,0
Colombia,37.47,0.56520548,-22.477
Comoros,0.154327,0.38273973,-5.7
Democratic Republic of Congo,0.91,0.27671233,-8.46996
Congo,0.025074,0.59013699,0.70318
Cook Islands,2.81,0.3509589,22.04911
Cuba,0.45,0.46630137,-12.35261
Denmark,-23.97,0.689863014,-34.17284
Djibouti,0.049223,0.46465753,-0.08318
Dominica,0.085401,-0.02767124,0.07834
Dominican Republic,6.93,0.24383561,1.39892
Ecuador,20.45,0.6369863,8.447
El Salvador,0.43,0.49479452,0.36967
Equatorial Guinea,5.539936,0.44082192,0.704
Eritrea,0.093674,0.42547945,0.0004
Estonia,2.06,0.532876713,-0.00244
Eswatini,-0.252049,0.6539726,0.58976
Ethiopia,13.09,0.45890411,1.93208
Faeroe Islands,0.075245,0.576986302,-11.94301
Fiji,1.344977,0.21342466,-0.1269
Finland,-13.04,1.046575342,-0.6004
Gabon,0.01,0.53260274,2.02809
Gambia,0.28844,0.29342465,-13.87
Georgia,5.55,1.050958904,0.20391
Ghana,8.11,0.62328767,18.834
Greece,-26.16,0.51835617,0
Greenland,0.138,0.2890411,0.00528
Grenada,0.084405,-0.08356165,-1.51802
Guatemala,10.6,0.46164383,2.366
Guinea,1.6,0.73095891,0.6263
Guinea-Bissau,0.11442,0.39260274,-9.84915
Guyana,0.51,0.16986301,-6.947
Haiti,2.06,0.29260274,-1.08923
Honduras,5.82,0.4369863,-1.60435
Hungary,-12.28,1.55068494,-1.58797
Iceland,0.82,1.037260274,3.317383
Iraq,139.59,0.72191781,-1.34263
Ireland,-3.64,-0.303013699,0
Israel,7.46,0.98,-3.98061
Italy,-116.46,1.03150685,0.5261
Jamaica,-1.95,0.3890411,-0.27357
Japan,-100,0.21808219,1.45477
Kenya,7.11,0.14219178,1.60532
Kiribati,0.039567,0,14.2633
Kuwait,50.4,0.63863014,0.084
Kyrgyzstan,5.52,-0.204109589,0.21486
Laos,31.413948,0.38931507,-0.109
Latvia,0.16,0.389041096,11.6721
Lebanon,11.14,0.72219178,0.68092
Lesotho,0.61,0.23397261,0
Liberia,0.879326,0.3769863,0.516
Libya,0.91,-0.20849315,2.387435
Liechtenstein,-0.08281,1.531232877,-3.39835
Lithuania,0.19,0.462465753,1.024477
Luxembourg,1.42,0.96136987,-24.23629
Madagascar,2.37,0.52109589,0
Malawi,0.549186,0.37178082,0
Maldives,1.14864,-0.22657534,0.0154
Mali,2.467584,0.50383562,-8.023
Malta,-1.1,0.09863014,0.03798
Marshall Islands,0.065129,0.75726028,-5.7494
Mauritania,2.83,0.23561644,0
Mauritius,2.47,0.9830137,-0.00266
Mexico,60.56,0.68657534,0.0002
Micronesia,0.024663,1.05232876,-0.65471
Moldova,1.2,0.33397261,0
Mongolia,56.97,0.032876712,1.855
Morocco,32.98,-0.09232877,0.017
Mozambique,7.21,0.54876712,1.6885
Myanmar,17.17,-0.16219178,2.17175
Namibia,2.49,-0.21479452,0.44
Nauru,-0.041854,0.20767123,-6.40708
Nepal,10.22,-0.23232877,0
Netherlands,-10.56,0.54739726,-26.5477
New Caledonia,6.15,-0.13972602,0
New Zealand,3.61,0.02630137,0.48495
Nicaragua,1.78,0.3890411,0
Niger,1.407594,0.05945206,0.0011
Norway,0.85,0.509863014,2.01
Oman,50.47,0.39616438,-0.9771
Panama,6.48,0.56684931,-1.0338
Papua New Guinea,4.35,0.07506849,-0.03154
Paraguay,3.72,0.1120548,-7.98
Peru,25.06,0.29287671,-5.69725
Philippines,70.74,0.44876712,55.20604
Poland,8.54,1.044383565,-13.491726
Portugal,-15.28,0.2769863,0.01042
Qatar,77.97,0.36547945,-2.8525
Romania,-13.83,1.085753428,-31.02795
Rwanda,0.577565,-0.02273973,0.09547
Samoa,0.132296,0.10493151,0.495
Sao Tome and Principe,0.078494,0.43178082,1.92146
Senegal,6.09,0.49123288,0.52527
Serbia,10.26,1.57671233,-0.004
Seychelles,0.096064,0.57506849,-7.50233
Sierra Leone,0.840999,0.57972603,-2.21996
Singapore,-11.58,0.46136986,-27.36861
Slovakia,-7.11,1.41479452,-2.37405
Slovenia,-0.85,1.372876708,-3.673176
Solomon Islands,0.082301,-0.10054794,4.177
Somalia,0.167353,0.15643835,0.192
South Africa,97.17,0.15671232,-65.86141
South Sudan,1.117099,0.39369863,0.01322
Spain,-29.85,0.42986302,0
Sri Lanka,14.45,0.36821917,5.6255
 St. Kitts and Nevis,0.087798,0.03698631,60.7496
 St. Lucia,0.028778,-0.14301369,-0.16
 St. Vincent and the Grenadines,0.099226,-0.11780822,0
Sudan,17.72,0.3150685,-7.5
Suriname,0.43,0.10410959,-0.008648
Sweden,-14.05,0.597808219,-0.13901
Switzerland,-7.55,1.5,-3.74817
Syria,-25.89,0.84630137,-0.855
Tajikistan,4.95,0.168767124,-14.5825
Tanzania,9.04,0.05671233,2.46
Togo,1.32,0.70958904,-1.23766
Tonga,0.054625,-0.06136986,0.24383
Trinidad and Tobago,15.4,-0.07205479,0.134
Tunisia,12.24,-0.25890411,-1.73
Turkmenistan,40.42,-0.00821918,0
Tuvalu,0.004152,0.08821918,0.96
Uganda,4.13,0.14712329,0
Ukraine,-66.51,0.271232877,-18.557
Uruguay,-0.43,0.6769863,0
Uzbekistan,-7.8,-0.28520548,0
Vanuatu,0.06114,-0.39917808,-0.08161
Venezuela,-42.96,0.20794521,0.342073
Yemen,-3.77,0.0369863,0
Zambia,5.15,0.07342466,-73.5901
Zimbabwe,-4.39,0.64849316,-7.83792
